id,sno,code,name,address,state,city,pincode,contactPerson,phone,email,validity,scopeUrl,Primary Category,Secondary Categories,Classification Basis,Category Confidence,Category
62,15,8138426,"Nemko India (Test Lab) Pvt. Ltd., Faridabad","Plot No 193, Sector 68, IMT Faridabad, Faridabad, Faridabad, Haryana, India - 121004",Haryana,Faridabad,121004.0,Kavita Dagar (Quality Manager),+91 9810629447,satish.sankhyan@nemko.com,"31 Dec, 2029",https://lims.bis.gov.in/home_lab_scope/62/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
63,16,9135004,National Institute of secondary steel technology,"Post Box No. 92, GT Road, Sirhind Side, Opposite Floating restaurant, MANDI GOBINDGARH, Fatehgarh Sahib, Punjab, India - 147301",Punjab,Mandi Gobindgarh,147301.0,ANIL MOHINDRU (Quality Manager),+91 9815904568,info@nisst.org,"24 Oct, 2028",https://lims.bis.gov.in/home_lab_scope/63/,Metal & Metallurgy,,Name/address metadata heuristic,Low,Metal & Metallurgy
64,17,9134536,Unique Test House LLP,"VILLAGE:-SARSINI, PO:-LALRU, MOHALI, S.A.S Nagar, Punjab, India - 140501",Punjab,Mohali,140501.0,SANJEEV KUMAR (Technical Manager),+91 9896169971,,"07 Sep, 2028",https://lims.bis.gov.in/home_lab_scope/64/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
65,18,9126034,"Institute for Auto Parts and Hand Tools Technology, Ludhiana","A-9, Phase-V, Focal Point, Ludhiana, Ludhiana, Ludhiana, Punjab, India - 141010",Punjab,Ludhiana,141010.0,Dr. Sanjeev Katoch,8427262400,iatldh@iapht.org,"17 Feb, 2028",https://lims.bis.gov.in/home_lab_scope/65/,Automotive,Mechanical & Engineering,Name/address metadata heuristic,Low,Automotive
67,19,8166106,"Cotecna Inspection India Private Limited, Gurugram","Plot No-306, Udyog Vihar, Phase-2, Gurugram, Haryana, Gurugram, Gurugram, Haryana, India - 122016",Haryana,Gurugram,122016.0,Jitender Dagar,9560271290,jitender.dagar@cotecna.co.in,-,https://lims.bis.gov.in/home_lab_scope/67/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
69,20,5123116,"Modern Test Center, Berhampur","3rd lane Neelanchal Nagar, Berhampur, Ganjam, Odisha, India - 760010",Odisha,Odisha,760010.0,,9437358552 7848843034,moderntestcenter@gmail.com,"31 May, 2029",https://lims.bis.gov.in/home_lab_scope/69/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
70,21,9164606,"JBS TESTING SOLUTIONS PVT LTD (27), JALANDHAR","PLOT NO. 27, STREET NO. 2, ADJOINING FOCAL POINT ROAD, TRANSPORT NAGAR, JALANDHAR, PUNJAB, JALANDHAR, Jalandhar, Punjab, India - 144004",Punjab,Jalandhar,144004.0,Varun Sharma (Technical Manager),+91 0181 2601629,jbstestingsolutions@gmail.com,-,https://lims.bis.gov.in/home_lab_scope/70/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
71,22,9123236,"IDMA LABORATORIES LIMITED, PANCHKULA","PLOT NO. 391 INDUSTRIAL AREA PHASE 1, PANCHKULA, Panchkula, Haryana, India - 134113",Haryana,Haryana,134113.0,Mr. Ankush Aggarwal,9888002607,testing@idmagroup.co.in,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/71/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
72,23,5137936,"Quality Control Division, S. M. Consultants Private Limited, Bhubaneswar","S. M. Tower, Plot No.- 130, Mancheswar Industrial Estate, Po.- Rasulgarh, Bhubaneswar, Khordha, Odisha, India - 751010",Odisha,Bhubaneswar,751010.0,Mr. Suvendu Mohanty (Quality Manager),+91 8908215859,md@smcindia.com,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/72/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
73,24,9111924,"THE NATIONAL SMALL INDUSTRIES CORPORATION LIMITED, TECHNICAL SERVICES CENTRE - NSIC, Rajpura","D/82-83, FOCAL POINT, RAJPURA, PATIALA, PUNJAB, RAJPURA, Patiala, Punjab, India - 140401",Punjab,Patiala,140401.0,Saurabh Sharma,9999020660,ntsec.rjp@nsic.co.in,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/73/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
74,25,7126926,"Hi Physix Laboratory India Private Limited, Pune","B-32/1/2, MIDC, Industrial Area, Ranjangaon, Pune, Pune, Pune, Maharashtra, India - 412220",Maharashtra,Pune,412220.0,K. K. Jayaswal,8552003805,infohplindia@bureauveritas.com,"20 Jun, 2028",https://lims.bis.gov.in/home_lab_scope/74/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
75,26,8135126,"Classic Instrumentation Pvt. Ltd. (8135126), Noida","C-45, SECTOR-65, Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,Noida,201301.0,HARSHIL SHARMA,9810285868,info@classiclabindia.com,"23 Oct, 2028",https://lims.bis.gov.in/home_lab_scope/75/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
76,27,5109624,"ELECTRONICS REGIONAL TEST LABORATORY (EAST) - ERTL (STQC), Kolkata","BLOCK-DN-63 ;SECTOR-V;SALT LAKE CITY KOLKATA-700 091., KOLKATA, 24 PARAGANAS NORTH, West Bengal, India - 700091",West Bengal,Kolkata,700091.0,Mita Das (Technical Manager),+91 9830786241,ertleast@stqc.gov.in,-,https://lims.bis.gov.in/home_lab_scope/76/,Construction & Cement,Electrical & Electronics,Name/address metadata heuristic,Low,Construction & Cement
77,28,7131116,"HITECHLAB HEALTHCARE &amp; RESEARCH CENTRE LLP, AHMEDABAD","201-202, Sahaj Arcade, Opp. Lincoln Healthcare, Near Sola gam, Science city road, Ahmedabd, Ahmedabad, Ahmadabad, Gujarat, India - 380060",Gujarat,Ahmedabad,380060.0,Rajesh Patel (Quality Manager),+91 9099971265,hitechlabindia@gmail.com,"01 Jun, 2027",https://lims.bis.gov.in/home_lab_scope/77/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
78,29,7107604,"National Test House (WR) - NTH, Mumbai","Plot No. F - 10, MIDC , Andheri (E), Mumbai, Mumbai Suburban, Maharashtra, India - 400093",Maharashtra,Mumbai,400093.0,Dilip Gwra Basumatary,6900181066,director.nthwr-ca@gov.in,-,https://lims.bis.gov.in/home_lab_scope/78/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
79,30,6130616,"ENVIRONMENTAL LABORATORY (UNIT OF MINERAL ENGINEERING SERVICES LLP), BENGALURU","948, 2ND CROSS, ST. THOMAS TOWN POST, KAMMANAHALLI MAIN ROAD,KAMMANAHALLI, BENGALURU, Bengaluru Urban, Karnataka, India - 560084",Karnataka,Bengaluru,560084.0,V.B Sudha (Quality Manager),+91 9742147954,elbng@yahoo.com,"20 Apr, 2027",https://lims.bis.gov.in/home_lab_scope/79/,Mechanical & Engineering,Mining & Minerals; Environmental & Water,Name/address metadata heuristic,Medium,Mechanical & Engineering
80,31,7119404,"MSME TESTING CENTRE (WR), MUMBAI","MSME-DI campus, Kurla - Andheri road, Sakinaka,, Mumbai, Mumbai Suburban, Maharashtra, India - 400072",Maharashtra,Mumbai,400072.0,Shri Manoj Kumar,8587030740,dctc-wr@dcmsme.gov.in,-,https://lims.bis.gov.in/home_lab_scope/80/,Mechanical & Engineering,,Name/address metadata heuristic,Low,Mechanical & Engineering
82,32,8131026,"Alpha Test House Private Limited, Delhi","487/25, Near Prachin Shiv Mandir Peeragarhi, DELHI, New Delhi, Delhi, India - 110087",Delhi,Delhi,110087.0,Ravinder Gupta,9711227171,electrical@alphatesthouse.com,-,https://lims.bis.gov.in/home_lab_scope/82/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
84,33,9122136,"Hindustaan Testing Solutions LLP, Ambala","Plot No. 36,Sector 1, HSIIDC IGC Saha, Ambala Cantt, Ambala Cantt, Ambala, Haryana, India - 133104",Haryana,Ambala,133104.0,Rachna Nayar,9355002828,hindustaantesthouse@gmail.com,"12 Sep, 2028",https://lims.bis.gov.in/home_lab_scope/84/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
85,34,8141526,"EMC Testing and Compliance LLP, Gurugram","115, Pace City-1, Sector 37, Gurugram, Gurugram, Haryana, India - 122001",Haryana,Gurugram,122001.0,Pradeep Kumar (Quality Manager),+91 8130427070,info@emclab.co.in,"19 Jul, 2027",https://lims.bis.gov.in/home_lab_scope/85/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
86,35,8127226,"UL India Private limited, Gurgaon","A-12 Sector 34 Infocity, Gurugram, Gurugram, Haryana, India - 122001",Haryana,Gurugram,122001.0,Gautam Brahmbhatt (Quality Manager),+91 9560249888,Satish.Kumar@ul.com,"07 Aug, 2028",https://lims.bis.gov.in/home_lab_scope/86/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
88,36,9138706,"Alpha Test House Services LLP (160), Sahibzada Ajit Singh Nagar","plot no.160,Industrial Area Phase-9, Sahibzada Ajit Singh Nagar, S.A.S Nagar, Punjab, India - 160062",Punjab,Punjab,160062.0,Aditya Singla(CEO),9888717272,chandigarh@alphatesthouse.com,"31 Dec, 2029",https://lims.bis.gov.in/home_lab_scope/88/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
90,37,6131326,"CSA INDIA PRIVATE LIMITED, BENGALURU","A-3 III FLOOR, BEARYS GRT, TOWER A EINSTEIN BUILDING SY 63/3B, GORVIGERE BIDARHALLI HOBLI, BENGALURU (BANGALORE) URBAN,, Bengaluru, Bengaluru Urban, Karnataka, India - 560067",Karnataka,Bengaluru,560067.0,,+91 9900056802,harsh.juneja@csagroup.org,"08 Jun, 2027",https://lims.bis.gov.in/home_lab_scope/90/,Construction & Cement,,Name/address metadata heuristic,Low,Construction & Cement
91,38,8123835,"Fire Test &amp; Research Laboratory, Sonipat","9th Milestone, Sonipat-Gohana Road, VPO Rattangarh, NH-352A,, Sonipat, Sonipat, Haryana, India - 131001",Haryana,Sonipat,131001.0,Rahul Chhillar (Quality Manager),+91 011 42831112,info@ftrl.in,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/91/,Safety & Protective Equipment,,Name/address metadata heuristic,Low,Safety & Protective Equipment
92,39,8136826,"URS PRODUCTS AND TESTING PVT LTD (F3), NOIDA","F-3, Sector - 6, Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,Noida,201301.0,Neeraj Rathee (Quality Manager),+91 9871062220,testing@ursindia.com,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/92/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
93,40,8122336,Shri Krishna Test House,"Plot No 88, Sector -E, Bawana-II, DSIIDC Industrial complex New Delhi, Delhi, Shahdara, Delhi, India - 110040",Delhi,Delhi,110040.0,Sunil Kumar Talwar,9891112786,skth1234@gmail.com,"05 Oct, 2028",https://lims.bis.gov.in/home_lab_scope/93/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
94,41,6120526,"UL INDIA PRIVATE LIMITED, BENGALURU","Loc 1&amp;2-Kalyani Platina Campus, Sy. no 129/4, EPIP Zone, Phase II, Whitefield, Bangalore- 560066, Loc3- 30/A, I Stage Vishveshwarya Industrial Estate, Doddanekkundi Industrial Area, Bangalore - 560048, Bangalore, Bengaluru Urban, Karnataka, India - 560066",Karnataka,Bengaluru,560066.0,Nandakumar Sarangan,9845225164,sarangan.nandakumar@ul.com,"12 May, 2027",https://lims.bis.gov.in/home_lab_scope/94/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
95,42,9137734,"Renewable Energy Test Centre (RTC), Murthal","Deenbandhu Chhotu Ram University of Science &amp; Technology Murthal, Murthal, Sonipat, Haryana, India - 131039",Haryana,Sonipat,131039.0,Dheeraj Yadav (Quality Manager),+91 9416810043,retcdcrust@gmail.com,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/95/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
98,43,8127706,"BUREAU VERITAS CONSUMER PRODUCTS SERVICES INDIA PRIVATE LIMITED, NOIDA","C-19, Sector -7, Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,Noida,201301.0,Sudhir Singh,9910985361,sudhir.singh@bureauveritas.com,"31 Dec, 2029",https://lims.bis.gov.in/home_lab_scope/98/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
99,44,8141226,"ACCURATE TEST SOLUTIONS LLP (F21), NOIDA","F 21 SECTOR 11 NOIDA 201301, NOIDA, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,Noida,201301.0,Sanchit Trehan,9810820552,,"04 Jul, 2027",https://lims.bis.gov.in/home_lab_scope/99/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
100,45,6162524,"CSIR-CECRI, CSIR-Battery Performance Testing &amp; Evalauation Centre, Karaikudi","CSIR-CECRI, KARAIKUDI, KARAIKUDI, Sivaganga, Tamil Nadu, India - 630003",Tamil Nadu,Tamil Nadu,630003.0,Sundar mayavan,7598446281,sundarmayavan@cecri.res.in,"24 Sep, 2027",https://lims.bis.gov.in/home_lab_scope/100/,Electrical & Electronics,,Name/address metadata heuristic,Low,Electrical & Electronics
101,46,6105534,"Br. MSME- DEVELOPMENT INSTITUTE, COIMBATORE","386, Patel Road, Ramnagar, Coimbatore – 641009, Tamil Nadu, India., COIMBATORE, Coimbatore, Tamil Nadu, India - 641009",Tamil Nadu,Coimbatore,641009.0,Sabarigiri M (Technical Manager),9487163288,brdcdi-coim@dcmsme.gov.in,"14 Jan, 2028",https://lims.bis.gov.in/home_lab_scope/101/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
103,47,5141106,"ESKAPS (INDIA) PRIVATE LIMITED, KOLKATA","13 N/P, Chowringhee Mansion, 30, Jawaharlal Nehru Road., KOLKATA, Kolkata, West Bengal, India - 700016",West Bengal,Kolkata,700016.0,LABA KUMAR DAS (LAB HEAD),8802588515,certification@eskaps.net,"08 Jul, 2027",https://lims.bis.gov.in/home_lab_scope/103/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
104,48,6117624,"ELECTRONICS TEST AND DEVELOPMENT CENTRE - ETDC (STQC), BANGALURU (SAFETY LAB))","100 feet Road, Peenya IndustriaL Area, Bengaluru, Bengaluru Urban, Karnataka, India - 560058",Karnataka,Bengaluru,560058.0,V R Sarur,9480050731,vrsarur@stqc.gov.in,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/104/,Electrical & Electronics,Safety & Protective Equipment,Name/address metadata heuristic,Low,Electrical & Electronics
105,49,6114835,"National Council for Cement and Building Materials (NCCBM), Hyderabad","NCB Bhavan, Old Bombay Road, Near Raidarga Police Station, Gachibowli, Hyderabad - 500104., Hyderabad, Ranga Reddy, Telangana, India - 500104",Telangana,Hyderabad,500104.0,Suresh Vanguri (Quality Manager),+91 0129 4192222,ncbhcrt@rediffmail.com,"14 Aug, 2027",https://lims.bis.gov.in/home_lab_scope/105/,Construction & Cement,,Name/address metadata heuristic,Medium,Construction & Cement
106,50,6120236,"CHENNAI METTEX LAB PVT LTD, CHENNAI","Jothi Complex, No.83, MKN Road, Guindy, CHENNAI, Chennai, Tamil Nadu, India - 600122",Tamil Nadu,Chennai,600122.0,Mrs.J. Hemalatha (Quality Manager),+91 9841078949,test@mettexlab.com,"02 Feb, 2027",https://lims.bis.gov.in/home_lab_scope/106/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
107,51,7139416,"Bee Pharmo Labs Pvt. Ltd., Thane","C-2, Hatkesh Udyog Nagar, Mira Bhayander Road, Mira Road (East), Thane, Thane, Maharashtra, India - 401107",Maharashtra,Thane,401107.0,Nidhi Dubey (Technical Manager),+91 9820113704,food@beepharmo.com,"15 Mar, 2027",https://lims.bis.gov.in/home_lab_scope/107/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
108,52,7139026,"TUV INDIA PVT LTD, PUNE","TUV India Pvt. Ltd. ANJANI PALLADIUM, 203 &amp; 204, SECOND FLOOR AND MEZZANINE FLOOR, 104B, SURVEY NO.126/1, BANER MAIN ROAD, BANER., PUNE, Pune, Maharashtra, India - 411045",Maharashtra,Pune,411045.0,RAVIRAJ PADOL,9561652667,praviraj@tuv-nord.com,"31 Dec, 2029",https://lims.bis.gov.in/home_lab_scope/108/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
109,53,6121716,"Shiva Analyticals (India) Private Limited, Bengaluru","Plot Nos. 24D(P) &amp; 34D, KIADB Industrial Area, Hoskote, Bangalore, Bengaluru Rural, Karnataka, India - 562114",Karnataka,Bengaluru,562114.0,BALACHANDRAN G (Technical Manager),+91 9741621119,sathyamoorthy.m@shivaanalyticals.com,"21 Apr, 2028",https://lims.bis.gov.in/home_lab_scope/109/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
110,54,8123735,"International Centre for Automotive Technology, Gurugram","Plot No. 26, Sector-3, HSIIDC, IMT Manesar - 122050, Gurugram, Gurugram, Haryana, India - 122050",Haryana,Gurugram,122050.0,PRITAM SINGH,9871365588,pritam.singh@icat.in,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/110/,Automotive,,Name/address metadata heuristic,Low,Automotive
111,55,9140406,"KC INDIA TEST LABORATORIES LLP, GHAZIABAD","A-16/2, Site-IV, Sahibabad Industrial Area, Ghaziabad, Ghaziabad, Uttar Pradesh, India - 201010",Uttar Pradesh,Ghaziabad,201010.0,RASHMI BHARDWAJ (Quality Manager),+91 9599880265,kcitestlab@gmail.com,"06 Jun, 2027",https://lims.bis.gov.in/home_lab_scope/111/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
112,56,8134626,CONFORMITY TESTING LABS PVT LTD (WH52),"WH-52, Mayapuri Industrial Area, Phase-1, New Delhi, South West, Delhi, India - 110064",Delhi,Delhi,110064.0,Mr. J.K Dhawan Dhawan (Quality Manager),+91 9811127453,cto@labctl.in,"19 Sep, 2028",https://lims.bis.gov.in/home_lab_scope/112/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
113,57,8141826,"Star Wire (India) Laboratories Private Ltd., Ballabhgarh","21/4, Mathura Road, ballabgarh, Faridabad, Haryana, India - 121004",Haryana,Faridabad,121004.0,Harish Garg (Quality Manager),+91 011 43397400,swdc06@starwire.in,"17 Sep, 2027",https://lims.bis.gov.in/home_lab_scope/113/,Electrical & Electronics,,Name/address metadata heuristic,Low,Electrical & Electronics
115,58,6126416,"NAWaL Analytical Labs India Private Limited, Hosur","Plot No:98A,100,109, New SIDCO Industrial Estate,Srinagar, HOSUR, Krishnagiri, Tamil Nadu, India - 635109",Tamil Nadu,Hosur,635109.0,D BALAKRISHNAN,9894785841,ecogreen.labs@gmail.com,"21 Mar, 2028",https://lims.bis.gov.in/home_lab_scope/115/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
117,59,8139626,Conformity Testing Labs Pvt. Ltd. Unit 2 (A33),"A-33, Mayapuri Industrial Area, Phase 1, New Delhi, New Delhi, New Delhi, Delhi, India - 110064",Delhi,Delhi,110064.0,Reenu Gupta (Quality Manager),+91 7840889997,qa@labctl.in,"05 Apr, 2027",https://lims.bis.gov.in/home_lab_scope/117/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
118,60,7123316,"MicroChem Silliker Pvt. Ltd, Navi Mumbai","MicroChem Silliker Pvt. Ltd. D-87, Opp Khajanji Exports, Indiranagar, TTC Industrial Area, MIDC Turbhe, Navi Mumbai, Turbhe, Navi Mumbai, Thane, Maharashtra, India - 400703",Maharashtra,Mumbai,400703.0,Nikisha Raut (Quality Manager),+91 7045924393,jeetendra.patil@mxns.com,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/118/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
120,61,8101304,"National Test House (NR) - NTH, Ghaziabad","Kamla Nehru Nagar,Ghaziabad, Ghaziabad, Ghaziabad, Uttar Pradesh, India - 201002",Uttar Pradesh,Ghaziabad,201002.0,Shri Rajesh Kumar,9412223381,director-gzb@nth.gov.in,-,https://lims.bis.gov.in/home_lab_scope/120/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
122,62,5126636,SUNTECH,"40-P, TUPUDANA INDUSTRIAL AREA, RANCHI, Ranchi, Jharkhand, India - 834003",Jharkhand,Ranchi,834003.0,ANIL D. HANS,9304172295,sun.tech.lab@gmail.com,"11 Apr, 2028",https://lims.bis.gov.in/home_lab_scope/122/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
123,63,6135404,"The National Small Industries Corporation Ltd (NSIC), Chennai","NSIC Technical Services Centre (A Government of India Enterprise), Sector B-24, Guindy Industrial Estate, Ekkaduthangal, Chennai-600 032., CHENNAI, Chennai, Tamil Nadu, India - 600032",Tamil Nadu,Chennai,600032.0,NK SUBRAMANI,9840912079,ntscche@nsic.co.in,-,https://lims.bis.gov.in/home_lab_scope/123/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
